country,city,lat,lng,population
Albania,Tirana,41.3272,19.8186,418495.0
Albania,Durrës,41.3133,19.4458,153614.0
Albania,Vlorë,40.45,19.4833,130827.0
Albania,Kamëz,41.3833,19.7667,126777.0
Albania,Elbasan,41.1111,20.0806,78703.0
Albania,Shkodër,42.0681,19.5119,76000.0
Albania,Fier,40.7167,19.55,55845.0
Albania,Korçë,40.6167,20.7667,51152.0
Albania,Sarandë,39.877,20.0,41000.0
Albania,Berat,40.7049,19.9497,36496.0
Albania,Lushnjë,40.9333,19.7,27000.0
Albania,Pogradec,40.9,20.65,20848.0
Albania,Kavajë,41.1842,19.5619,20192.0
Albania,Gjirokastër,40.0758,20.1389,19836.0
Albania,Fushë-Krujë,41.4833,19.7167,18477.0
Albania,Laç,41.6353,19.7131,17086.0
Albania,Sukth,41.3833,19.5333,15966.0
Albania,Buçimas,40.8914,20.6814,15687.0
Albania,Kukës,42.0833,20.4167,15643.0
Albania,Lezhë,41.7819,19.6444,15510.0
Albania,Patos,40.6841,19.6194,15397.0
Albania,Peshkopi,41.6833,20.4281,13251.0
Albania,Librazhd-Qendër,41.1969,20.3356,12691.0
Albania,Kuçovë,40.8039,19.9144,12654.0
Albania,Krujë,41.5108,19.7925,11721.0
Albania,Burrel,41.6083,20.0111,10862.0
Albania,Perondi,40.7789,19.9231,9005.0
Albania,Libonik,40.75,20.7167,8922.0
Albania,Rrëshen,41.7667,19.8833,8803.0
Albania,Belsh,40.9833,19.8833,8781.0
Albania,Gramsh,40.8667,20.1833,8440.0
Albania,Librazhd,41.1833,20.3167,6937.0
Albania,Përmet,40.2333,20.35,5945.0
Albania,Bajram Curri,42.3583,20.0761,5340.0
Albania,Tepelenë,40.2965,20.0186,4342.0
Albania,Çorovodë,40.5042,20.2272,4051.0
Albania,Ersekë,40.3333,20.6833,3746.0
Albania,Pukë,42.05,19.9,3607.0
Andorra,Andorra la Vella,42.5,1.5,22615.0
Andorra,Sant Pere,42.5,1.5,22256.0
Andorra,Escaldes-Engordany,42.5089,1.5408,15506.0
Andorra,Encamp,42.5361,1.5828,12826.0
Andorra,La Massana,42.5444,1.5144,11591.0
Andorra,Sant Julià de Lòria,42.465,1.4911,9915.0
Andorra,Canillo,42.5667,1.6,5781.0
Andorra,Ordino,42.555,1.5331,4858.0
Austria,Vienna,48.2083,16.3725,2223236.0
Austria,Graz,47.0708,15.4386,292630.0
Austria,Linz,48.3058,14.2864,211944.0
Austria,Lochau,47.5167,9.75,200000.0
Austria,Salzburg,47.8,13.045,155021.0
Austria,Innsbruck,47.2683,11.3933,130585.0
Austria,Klagenfurt,46.6167,14.3,101403.0
Austria,Wels,48.15,14.0167,65303.0
Austria,Villach,46.6167,13.85,65127.0
Austria,Sankt Pölten,48.2,15.6167,55514.0
Austria,Krems an der Donau,48.4167,15.6167,50000.0
Austria,Dornbirn,47.4139,9.7444,48067.0
Austria,Wiener Neustadt,47.8089,16.2325,44461.0
Austria,Steyr,48.0333,14.4167,38034.0
Austria,Feldkirch,47.2381,9.5983,33420.0
Austria,Bregenz,47.505,9.7492,29620.0
Austria,Leonding,48.2667,14.25,28698.0
Austria,Klosterneuburg,48.3042,16.3167,27058.0
Austria,Baden,48.0075,16.2344,26286.0
Austria,Wolfsberg,46.85,14.8333,25035.0
Austria,Leoben,47.3817,15.0972,24645.0
